#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_AMBITION;Ambition;Ambition;Ambition;;Ambición;;;;;;;;;x
b_kroran;Krorän;Krorän;Krorän;;Krorän;;;;;;;;;x
b_endere;Endere;Endere;Endere;;Endere;;;;;;;;;x
b_dandan_uilik;Dandan-Uiliq;Dandan-Uiliq;Dandan-Uiliq;;Dandan-Uiliq;;;;;;;;;x
b_korla;Korla;Korla;Korla;;Korla;;;;;;;;;x
b_shanguo;Shanguo;Shanguo;Shanguo;;Shanguo;;;;;;;;;x
b_turfan;Turfan;Turfan;Turfan;;Turfan;;;;;;;;;x
b_tashkurgan;Tashkurgan;Tashkurgan;Tashkurgan;;Tashkurgan;;;;;;;;;x
b_yecheng;Yecheng;Yecheng;Yecheng;;Yecheng;;;;;;;;;x
b_mazar;Mazar;Mazar;Mazar;;Mazar;;;;;;;;;x
b_jiaohe;Jiaohe;Jiaohe;Jiaohe;;Jiaohe;;;;;;;;;x
b_guma;Guma;Guma;Guma;;Guma;;;;;;;;;x
b_wensu;Wensu;Wensu;Wensu;;Wensu;;;;;;;;;x
b_xayar;Xayar;Xayar;Xayar;;Xayar;;;;;;;;;x
b_danhuan;Danhuan;Danhuan;Danhuan;;Danhuan;;;;;;;;;x
b_wutanzili;Wutanzili;Wutanzili;Wutanzili;;Wutanzili;;;;;;;;;x
b_huhu;Huhu;Huhu;Huhu;;Huhu;;;;;;;;;x
b_loulan;Loulan;Loulan;Loulan;;Loulan;;;;;;;;;x
b_kargan;Kargan;Kargan;Kargan;;Kargan;;;;;;;;;x
b_ruoqiang;Ruoqiang;Ruoqiang;Ruoqiang;;Ruoqiang;;;;;;;;;x
b_mocheng;Mocheng;Mocheng;Mocheng;;Mocheng;;;;;;;;;x
b_zuomo;Zuomo;Zuomo;Zuomo;;Zuomo;;;;;;;;;x
b_yuling;Yuling;Yuling;Yuling;;Yuling;;;;;;;;;x
b_jingjue;Jingjue;Jingjue;Jingjue;;Jingjue;;;;;;;;;x
b_jiandu;Jiandu;Jiandu;Jiandu;;Jiandu;;;;;;;;;x
b_shangwangguo;Shangwangguo;Shangwangguo;Shangwangguo;;Shangwangguo;;;;;;;;;x
b_xiuxun;Xiuxun;Xiuxun;Xiuxun;;Xiuxun;;;;;;;;;x
b_wulei;Wulei;Wulei;Wulei;;Wulei;;;;;;;;;x
b_bay;Bay;Bay;Bay;;Bay;;;;;;;;;x
b_toqsu;Toqsu;Toqsu;Toqsu;;Toqsu;;;;;;;;;x
b_awat;Awat;Awat;Awat;;Awat;;;;;;;;;x
b_kelpin;Kelpin;Kelpin;Kelpin;;Kelpin;;;;;;;;;x
b_fukang;Fukang;Fukang;Fukang;;Fukang;;;;;;;;;x
b_qiemi;Qiemi;Qiemi;Qiemi;;Qiemi;;;;;;;;;x
b_balikun;Balikun;Balikun;Balikun;;Balikun;;;;;;;;;x
b_qian_pulei;Qian Pulei;Qian Pulei;Qian Pulei;;Qian Pulei;;;;;;;;;x
b_hou_pulei;Hou Pulei;Hou Pulei;Hou Pulei;;Hou Pulei;;;;;;;;;x
b_yulishi;Yulishi;Yulishi;Yulishi;;Yulishi;;;;;;;;;x
b_karghalik;Karghalik;Karghalik;Karghalik;;Karghalik;;;;;;;;;x
b_weixu;Weixu;Weixu;Weixu;;Weixu;;;;;;;;;x
b_weili;Weili;Weili;Weili;;Weili;;;;;;;;;x
b_weitou;Weitou;Weitou;Weitou;;Weitou;;;;;;;;;x
