#CODE;RUSSIAN;x
eunuch;Евнух;x
eunuch_desc;Этот мужчина был оскоплён и является евнухом.;x
blinded;Ослеплённый;x
blinded_desc;Этот человек был ослеплён и не может видеть.;x
born_in_the_purple;Багрянородный;x
born_in_the_purple_desc;Этот человек - Багрянородный - буквально "родился в пурпуре". Эта честь даровалась только детям, рождённым от правящих Басилевсов или Басилеев в Багряном (Порфирном) зале императорского дворца. Их правопреемственность сильнее, чем у старших братьев и сестёр, родившихся до того, когда их родители вступили на престол.;x
augustus;Август;x
augustus_desc;Этот человек - нынешний правитель восстановленной Римской Империи, чем и обусловлено огромное уважение к такому высокому титулу.;x
title_imperial_eunuch;Паракимомен;x
title_imperial_eunuch_desc;Паракимомен, "который спит у входа в императорские покои" - престижная должность при дворе Басилевса, предназначенная для евнухов, которых ценили за их верность и осторожность.;x
title_court_eunuch;Придворный евнух;x
title_court_eunuch_desc;Евнухи выполняли множество функций при дворе и им можно было доверять в присутствии женщин.;x
vassal_castrate_decision;[Root.GetTitledFirstName] будет оскоплён;x
vassal_castrate_decision_desc;Поскольку [Root.GetTitledFirstName] у Вас в плену, Вы можете отдать приказ оскопить его, превратив тем самым в евнуха. Он станет свободным человеком, но будет не в состоянии иметь потомство или владеть земельными титулами. Жестокое наказание.;x
vassal_blinding_decision;[Root.GetTitledFirstName] будет ослеплён;x
vassal_blinding_decision_desc;Поскольку [Root.GetTitledFirstName] у Вас в плену, Вы можете отдать приказ  навсегда ослепить [Root.GetHersHis], а затем выпустить на свободу. Это обычный византийский способ расправы над политическими соперниками без прямого убийства, так как слепец представляет меньшую угрозы для трона.;x
opinion_castrated_me;Оскопил меня;x
opinion_blinded_me;Ослепил меня;x
opinion_castrated_family;Оскопил родича;x
opinion_blinded_family;Ослепил родича;x
opinion_loyal_servant;Верный слуга;x
nick_the_glorious;Славный;x
nick_the_saint;Святой;x
EVTNAMELoR.1;Cирия и Палестина;x
EVTDESCLoR.1;Древние провинции Сирия и Палестина были окончательно освобождены от мерзких лап варваров и вновь стали частью Римской Империи. Грядет великое торжество для отважных героев, совершивших этот подвиг. Пусть их имена отзовутся эхом в Вечности!;x
EVTOPTALoR.1;Да здравствует Империя!;x
EVTNAMELoR.2;Eгипет;x
EVTDESCLoR.2;Закончились тёмные времена для народа Египта, здесь восстановилась римская власть. Земля фараонов служила житницей для старой империи, и она вновь станет краеугольным камнем во время процветания славного Римского Государства.;x
EVTNAMELoR.3;Kиренаика;x
EVTDESCLoR.3;Граждане провинции Киренаика могут радоваться - Римское право снова установлено на этой бесплодной земле. Ещё одна древняя провинция была возвращена в лоно самой могущественной империи, которую только мог видеть цивилизованный мир. Пусть она больше никогда не страдает от жестоких набегов варваров.;x
EVTNAMELoR.4;Aфрика;x
EVTDESCLoR.4;Наше влияние сейчас ощущается на всей территории бывшей Африки, она снова под властью Империи. Наши войска идут через Карфаген, древнее доказательство возмездия Рима. Это определенно доказывает, что история действительно повторяется.;x
EVTNAMELoR.5;Bосстановлена провинция Иллирик ;x
EVTDESCLoR.5;Бывшая Римская провинция Иллирик вновь заняла своё законное место в возрождающейся Римской Империи. Восточное побережье Адриатического моря хорошо защищено, это важный фундамент пополнения войск, который может оказаться полезным в будущих кампаниях по возвращению Риму надлежащих границ на западе.;x
EVTNAMELoR.6;Cлавься, провинция Италия;x
EVTDESCLoR.6;Во второй раз после падения Западной Империи, Италия была освобождена и восстановлена под Римским владычеством в надежде на хорошие времена. Великий город Рим теперь Ваш, и даже закалённый солдат проливает слёзы, смотря, как имперский штандарт развевается на ветру у колонны Траяна.;x
EVTNAMELoR.7;Pадуйся провинция Галлия;x
EVTDESCLoR.7;Галлия, долгое время считавшаяся потерянной навсегда для Рима, покорена и снова включена в состав Империи. Провинция сильно изменилась с тех пор, когда более тысячи лет назад Цезарь вёл кампании на этой земле, но она не будет больше страдать под властью царей-выскочек или ложных императоров.;x
EVTNAMELoR.8;Pасширена провинция Германия;x
EVTDESCLoR.8;Римская империя сейчас расширена за пределы границ, утвержденных даже великим Траяном. Германия, это проклятие римской армии, была в конце концов усмирена и включена в Империю. Здесь теперь будет править истинное продолжение Римского государства, а не ложная "империя", притворяющаяся таковым.;x
EVTNAMELoR.9;Pим в провинции Британия;x
EVTDESCLoR.9;Оставленные на произвол судьбы римскими гарнизонами в V веке, британцы могут наконец возрадоваться. После веков страданий и тьмы, Римское правление наконец-то восстановлено над этим маленьким островом, а его жители снова могут считать себя гражданами Империи.;x
EVTNAMELoR.10;Bосстановлена Испания;x
EVTDESCLoR.10;Власть и влияние Римской империи снова простирается на древнюю провинцию Испания. Эта земля сильно пострадала от постоянных приграничных стычек, которые вели мусульманские и католические лорды. Теперь же, когда Pax Romana распростёрлась на этом полуострове, она может, наконец, отдохнуть.;x
EVTNAMELoR.11;Mавритания;x
EVTDESCLoR.11;Великий полководец Велисарий отвоевал часть Мавритании у вандалов в VI веке, но в конечном счёте всё это перешло к арабам в непрестанной борьбе по всей Северной Африке. Теперь, когда Римская власть полностью восстановлена в этой провинции, после столетий беспорядков она вновь может процветать.;x
EVTNAMELoR.12;Mесопотамия;x
EVTDESCLoR.12;Император Траян отвоевал Месопотамию у Парфянской империи и превратил её в Римскую провинцию, но она была оставлена его преемником Адрианом несколько лет спустя. Теперь Евфрат и Тигр снова под эгидой Римской власти, и на этот раз они таковыми и останутся.;x
EVTNAMELoR.13;Kаледония;x
EVTDESCLoR.13;Границы Рима уже продвинулись далеко за пределы древних руин Адрианова и Антонинова валов и теперь простираются на всю Каледонию. Эта жёсткая и неумолимая земля является родиной для особой породы людей, но они будут превращены в работящих римских граждан.;x
EVTNAMELoR.14;Hовая провинция Иберния;x
EVTDESCLoR.14;Остров Иберния является последним дополнением к постоянно расширяющимся областям Римской империи. Эта земля покатых холмов и зелёных полей никогда не была завоёвана старой империей, но она станет хорошим феодом, если не обращать внимание на дождь и зловонных норвежских поселенцев вдоль побережья.;x
restore_roman_empire;Восстановление Римской Империи;x
restore_roman_empire_desc;Если Рим и другие ключевые территории старой империи будут восстановлены, Византийская Империя сможет получить признание в глазах Запада как истинное и законное продолжение римского государства.;x
EVTTOOLTIPLoR.20;Римская Империя восстановлена;x
EVTNAMELoR.20;Hа заре новой эры;x
EVTDESCLoR.20;Друзья, римляне, соотечественники, выслушайте меня! После чудесного возвращения территорий, потерянных веками назад, Римская Империя возродилась! Европа переживала тяжёлые времена с тех пор, как имперские границы испытывались на прочность варварами и провинцию за провинцией сжигали их набеги, но теперь свет новых времен воссиял для всей цивилизации.\nРевнивые претенденты на Западе больше не будут называть Римское государство "империей греков", а признают истинным преемником наследия Рима. [Root.GetTitledFirstName] правит восстановленной Римской империей, но многое ещё предстоит сделать. Существуют ещё территории, которые надо восстановить и древние границы, которые нужно вернуть. За Сенат и народ Рима!;x
EVTOPTALoR.20;Esto perpetua!;x
EVTNAMELoR.21;Bторая Эпоха Рима;x
EVTDESCLoR.21;Византии, ранее называемой на Западе "империей греков", так или иначе удалось вернуть утраченные территории для того, чтобы объявить Римскую Империю восстановленной! Больше нельзя отрицать того, что они являются истинными преемниками Рима и его славного наследия.;x
EVTOPTALoR.21;Неужели это правда?;x
EVTOPTBLoR.21;Но... как насчёт МОЕЙ империи?;x
EVTDESCLoR.30;В честь недавней победы Империи, было бы целесообразно провести Триумф в столице для солдат, героически сражавшихся в этой войне. Такое мероприятие дорого обойдется, но люди не ожидают ничего иного.;x
EVTOPTALoR.30;Да будет великое торжество!;x
EVTOPTBLoR.30;Кратких оваций на ипподроме должно хватить.;x
EVTOPTCLoR.30;У нас нет времени на такую ерунду.;x
EVTTOOLTIPLoR.31;Триумф будет проведён на ипподроме;x
EVTDESCLoR.31;Великое торжество проводится на ипподроме в честь храбрых генералов и солдат, которые нанесли поражение врагам Империи. Люди приветствуют трубачей, возглавляющих длинную процессию, включающую марширующих солдат, заполненные трофеями телеги и клетки с пленниками из последних походов.;x
EVTOPTALoR.31;Империя на грани успеха;x
EVTDESCLoR.32;[Root.Liege.GetTitle] повелевает, чтобы на ипподроме прошло торжество в честь храбрых солдат, которые принесли победу Империи. Люди приветствуют трубачей, возглавляющих длинную процессию, которая включает марширующих солдат, заполненные трофеями телеги и клетки с пленниками из последних походов.;x
EVTOPTALoR.32;Впечатляющая демонстрация;x
opinion_triumph_held;Организовал торжество;x
triumph_held;Ваши вассалы находятся под впечатлением от этой демонстрации императорской власти.;x
EVTNAMELoR.40;Bосстановлены Имперские границы;x
EVTDESCLoR.40;Историю славного возрождения Римской империи будут рассказывать веками. Те несчастные, пережившие чёрные дни, когда варвары грабили Рим, а арабские завоеватели прокатились вихрем из пустынь, не могли и мечтать об этом дне. Все прежние провинции были восстановлены и Империя теперь простирается дальше, чем это было почти тысячу лет назад.\nЦерковные колокола по всей Европе звонят, чтобы отпраздновать это знаменательное событие, мужчины и женщины в Риме и Константинополе плачут от радости. Задача сохранить империю такого масштаба в целостности будет сложной, но ради всего человечества, Вы должны преуспеть, чтобы мир не погрузился в ещё одну тёмную эпоху невежества и варварства, лишившись путеводной звезды Рима.;x
EVTOPTALoR.40;Империя больше не падёт;x
EVTDESCLoR.200;С городом, вернувшимся под контроль Византии, Антиохийский Патриархат был надлежащим образом восстановлен как один из епископских престолов Пентархии в Православной Церкви. Первоначально он был основан святым апостолом Петром, который считается первым Папой в западной католической церкви.;x
EVTOPTALoR.200;Слава Богу!;x
EVTDESCLoR.201;С городом, вернувшимся под контроль Византии, Иерусалимский Патриархат был надлежащим образом восстановлен как один из епископских престолов Пентархии в Православной Церкви. Первоначально он был основан святым Иаковом Праведным , который был главой церкви в Иерусалиме вскоре после смерти Иисуса.;x
EVTDESCLoR.202;С городом, вернувшимся под контроль Византии, Александрийский Патриархат был надлежащим образом восстановлен как один из епископских престолов Пентархии в Православной Церкви. Первоначально он был основан святым Марком Евангелистом, который стал первым патриархом Александрии.;x
EVTDESCLoR.203;С городом, вернувшимся под контроль Византии, Римский Патриархат был надлежащим образом восстановлен как один из епископских престолов Пентархии в Православной Церкви. Когда все пять исторических патриархатов будут возвращены в Пентархию, раскол между Восточной и Западной церковью, возможно, будет преодолён.;x
mend_great_schism;Преодоление Великого Раскола;x
mend_great_schism_desc;Великий раскол разделил христианскую Церковь на две ветви, но если все пять епископских престолов Пентархии смогут быть восстановлены под римским владычеством и православной верой, возможно вернётся надежда на воссоединение христианского мира.;x
EVTTOOLTIPLoR.210;Великий раскол преодолен и христианский мир воссоединился.;x
EVTNAMELoR.210;Bеликий раскол преодолен;x
EVTDESCLoR.210;Наконец Великий раскол между Западной Католической и Восточной Православной церквями преодолён. С распространением православия и воссоединения Пентархий, в том числе жизненно важного епископства Рима, католическая вера теперь почти не имеет влияния на народы Европы. Останутся те, кто все еще будет цепляться за это, но они будут немногочисленны и Пентархия может ещё раз претендовать на универсальные нормы во всем христианском мире.;x
EVTOPTALoR.211;Если в эту сторону ветер дует...;x
EVTOPTBLoR.211;Я никогда не откажусь от своей веры!;x
EVTNAMELoR.400;Hевинное предложение;x
EVTDESCLoR.400;Однажды в императорском дворце, в окружении крикливых советников, размахивающих указами и распоряжениями, которые ждут Вашей подписи, к Вам приблизился маленький человек и сообщил, что он представитель команды Venetoi - Синих, одной из двух главных команд в гонках на колесницах в Константинополе. Они больше не имеют политического влияния, которым пользовались во времена Юстиниана Великого, но они по-прежнему популярны у широких масс. Вы отталкиваете советников в сторону и решаете выслушать его.\nЧеловек представляет себя как Анаксимандрос и объясняет, что у него есть предложение для Вас. Если Вы захотите участвовать за Синих в гонке великих колесниц на следующей неделе, то он и его соратники сделают так, чтобы Вы выиграли. Обе стороны выиграют от того, что [Root.GetTitle] одержит победу как член великой Синей команды.;x
EVTOPTALoR.400;Интригующее предложение... Можете рассчитывать на меня.;x
EVTOPTBLoR.400;Пойти на обман? Нет, спасибо.;x
hippodrome_refuse;Вы отказываетесь принять участие в этом деле.;x
EVTTOOLTIPLoR.401;Вы практикуетесь в гонках на колесницах.;x
EVTNAMELoR.401;Tренировки проходят отлично;x
EVTDESCLoR.401;Вы упорно тренируетесь в гонках на колесницах, чтобы лучше подготовиться к предстоящему событию на ипподроме. Несмотря на достаточно хорошее управление и всего несколько падений с колесницы, Вы просто не можете представить, как Вы сможете победить профессиональных гонщиков. Когда Вы говорите об этом Анаксимандру, карлик улыбается и говорит, что Вам не о чем беспокоиться. Он уверяет, что Зелёные, Ваши главные противники, не будут проблемой, а другие, Синие гонщики, были проинструктированы позволить Вам выиграть.\n"Вам лучше удостоверится в этом," - говорите Вы Анаксимандру. - "Если я буду выглядеть глупо, клянусь, я буду не единственным, кто будет страдать.";x
EVTOPTALoR.401;Давайте покончим с этим.;x
hippodrome_tooltip;На Ипподром!;x
EVTNAMELoR.402;Cостязание;x
EVTDESCLoR.402;B этот прекрасный день для гонок ипподром был заполнен людьми, которые надеются, что их [Root.GetTitle] победит... или с треском провалится. Спиридон, звезда Зелёных, смотрит на Вас с презрением, когда Ваши колесницы встречаются. "Я постараюсь не стеснять Вас, Ваше Императорское Величество", - говорит он сквозь зубы.\nТрубы знаменуют начало гонки. Одна за другой, Зелёные колесницы разваливаются и опрокидываются, освобождая Вам путь. Только бронированная колесница Спиридона остается в Зелёной команде, Ваши Синие союзники двигаются, чтобы заблокировать его, но их колесницы тоже падают, Похоже, команды имели сходные тактики на гонку. Тем не менее, Вы умело маневрируете среди обломков и сдерживаете Спиридона достаточно долго, чтобы выиграть!;x
EVTOPTALoR.402;Победа, но не благодаря Анаксимандру!;x
EVTNAMELoR.403;Cостязание;x
EVTDESCLoR.403;B этот прекрасный день для гонок ипподром был заполнен людьми, которые надеются, что их [Root.GetTitle] победит... или с треском провалится. Спиридон, звезда Зелёных, смотрит на Вас с презрением, когда Ваши колесницы встречаются. "Я постараюсь не слишком стеснять Вас, Ваше Императорское Величество", - говорит он сквозь зубы.\nТрубы знаменуют начало гонки. Одна за другой, Зелёные колесницы разваливаются и опрокидываются, освобождая Вам путь. Только бронированная колесница Спиридона остается в Зелёной команде, Ваши Синие союзники двигаются, чтобы заблокировать его, но их колесницы тоже падают. Похоже, команды имели сходные тактики на гонку. Оставшись без помощи Синих, Вы упускаете колесницу Спиридона, и он побеждает!;x
EVTOPTALoR.403;Поражение! Анаксимандр заплатит за это!;x
EVTNAMELoR.404;Cостязание;x
