#CODE;RUSSIAN;x
opinion_hajj_promised;Обещал совершить Хадж.;x
opinion_bring_on_hajj;Совершили Хадж вместе.;x
opinion_jihad_promised;Пообещал Джихад;x
opinion_attepmt_hajj;Отчитал меня за Хадж.;x
opinion_declined_hajj;Отклонил Хадж;x
opinion_refused_hajj;Отказался совершить Хадж со мной;x
opinion_hajj_saved_from_bandit;Спасся от бандитов во время Хаджа;x
opinion_hajj_saving_on_hajj;Спас его от бандитов;x
opinion_hajj_attempt_murder;Нарушил перемирие во время Хаджа;x
opinion_hajj_rivalry_mended;Положительные слова по поводу Хаджа;x
opinion_helped_wudu;Помог с омовением;x
opinion_hajj_not_helpin;Не проявляет милосердие;x
EVTDESC86000;Вы начали готовиться к паломничеству в Мекку. Вскоре Вы отправитесь в путешествие с другими паломниками, чтобы выполнить один из пяти столпов ислама.;x
EVTOPTA86000;Все равны перед Богом!;x
EVTDESC86001;Готовясь к путешествию в Мекку, я узнал, что мои придворные ещё не совершали паломничества в Мекку. [Root.PrimaryTitle.GetRulerTitle] должен благоволить своим подданным, один из них отправится со мной.;x
EVTOPTA86001;Это сделает путешествие более приятным...;x
EVTOPTB86001;Это так дорого...;x
EVTDESC86010;Во время подготовки паломничества в Мекку мне стало ясно, что [Root.Liege.GetTitledName] не совершал Хаджа.;x
EVTOPTA86010;Отчитать за это!;x
EVTTOOLTIP86011;будет прислушиваться к нам...;x
EVTOPTB86010;Несомненно, он занятой человек...;x
EVTDESC86011;Да благословит Вас Аллах, [Root.GetTitle]!\n Я готовлюсь к Хаджу. К сожалению до меня дошли слухи, что Вы не совершали паломничества. Не желаете ли отправиться в путешествие с Вашим покорным слугой?\nВаш верный вассал, [From.GetTitledName];x
EVTOPTA86011;Я начну приготовления немедленно!;x
EVTTOOLTIP86012;будет путешествовать с нами...;x
EVTOPTB86011;Я слишком занят!;x
EVTTOOLTIP86013;будет разочарован во мне;x
EVTDESC86012;[Root.GetTitledFirstName]!\nЯ присоединюсь к Вам на Вашем пути!\nВаш сюзерен, [From.GetTitledName];x
EVTOPTA86012;Аллах велик!;x
EVTDESC86013;Мне искренне жаль, что я не могу присоединиться к Вам в Вашем паломничестве.\n[From.GetTitledName];x
EVTOPTA86013;Аллах ему судья...;x
EVTDESC86015;Наш сюзерен, [Root.Liege.GetTitledName], слышал о наших планах отправиться в Мекку и шлёт весть об опасностях на дороге из-за неверных и разбойников.;x
EVTOPTA86015;Отправиться с охраной;x
EVTOPTB86015;Отправиться налегке;x
EVTDESC86020;Во время подготовки к паломничеству мой сын подошёл ко мне и попросил взять его с собой.;x
EVTOPTA86020;Согласиться;x
EVTOPTB86020;Это было бы слишком дорого;x
EVTDESC86100;Все приготовления к путешествию в Мекку завершены! Во время моего отсутствия [Root.PrimaryTitle.GetAdjective]им государством будет править регент.;x
EVTOPTA86100;Выступаем в Мекку!;x
EVTDESC86101;Нас преследует банда разбойников, и похоже, что они нас настигают.;x
EVTOPTA86101;Постараемся оторваться!;x
EVTOPTB86101;Наш долг остановить их...;x
EVTTOOLTIP86102;Мы с группой паломников вступим в бой с бандитами.;x
EVTDESC86102;От этих бандитов не сбежать, И нам пришлось дать им отпор. Всегда есть вероятность уцелеть.;x
EVTOPTA86102;Их как раз хватит, чтобы справиться в одиночку...;x
EVTOPTB86102;Поднажмём! ;x
EVTOPTC86102;Отдать им оставшееся золото.;x
EVTDESC86105;Путешествие по морю вызвало у вас морскую болезнь. К счастью на корабле был хафиз, который процитировал Коран. "Поить их там будут из чаш вином, смешанным с имбирем, из источника, названного Сальсабилем".;x
EVTOPTA86105;Я чувствую себя лучше!;x
EVTDESC86110;Во время путешествия по морю экипаж корабля заметил паруса знаменитого христианского пирата. Наш корабль быстрее, но это такой шанс навсегда устранить угрозу для паломников!;x
EVTOPTA86110;Риск слишком велик...;x
EVTOPTB86110;Мы должны остановить неверных!;x
EVTDESC86150;Вы видите, как неподалеку разбойники окружили группу паломников. Скорее всего, они ограбят и убьют их.;x
EVTOPTA86150;Мы ничего не можем поделать...;x
EVTOPTB86150;Постараемся спасти их!;x
EVTDESC86151;Мы попали в окружение разбойников, они собрались ограбить и убить нас. Но вдруг нам на помощь пришли паломники.;x
EVTOPTA86151;Братья мои!;x
EVTDESC86160;Один из моих подданных заметил нашего противника, разбившего лагерь недалеко от нас. Я знаю, что это противоречит учению пророка - нападать во время Хаджа, но такая блестящая возможность...;x
EVTOPTA86160;Неожиданно напасть ночью.;x
EVTTOOLTIP86161;Скрестим же наши клинки!;x
EVTOPTB86160;Подружиться с ним...;x
EVTTOOLTIP86165;получит наше приглашение.;x
EVTOPTC86160;Я просто проигнорирую его.;x
EVTDESC86161;На нас неожиданно напали, и похоже, что это [From.GetTitledName], который пытается убить вас. Это вероломный поступок, и ясно, что он не является истинным мусульманином, решившись на гнусное нападение в темноте!;x
EVTOPTA86161;Бороться до конца!;x
EVTTOOLTIP86162;оставлен при смерти в ночи...;x
EVTOPTB86161;Бороться до конца!;x
EVTOPTC86161;У нас есть достаточно времени, чтобы убежать ...;x
EVTDESC86162;Наш план с засадой провалился... Мало того, что [From.GetTitledName] сбежал, так он ещё и тяжело ранил меня!;x
EVTOPTA86162;[From.GetTitledName] взял верх...;x
EVTDESC86163;Получилось!\nМне удалось нанести рану и [From.GetTitledName] умрёт в пустыне от кровотечения...;x
EVTOPTA86163;Он несомненно скоро умрёт...;x
EVTDESC86164;Похоже, что [From.GetTitledName] скрылся в тишине ночи ...;x
EVTOPTA86164;Уже ничем не помочь...;x
EVTDESC86165;В наш лагерь пришёл посланник с приглашением, которого отправил [From.GetTitledName], чья группа остановилась недалеко от нас. В послании предложение разделить трапезу и устранить меж нами разногласия.;x
