#CODE;RUSSIAN;x
AYA_POSTFIX;ая;x
KHAN;Хан;x
KHATUN;Хатун;x
d_yaroslavl_adj_finnish;Мерьск;x
d_yaroslavl_adj_komi;Мерьск;x
d_yaroslavl_adj_mordvin;Мерьск;x
d_yaroslavl_adj_samoyed;Мерьск;x
d_yaroslavl_adj_finnish;Мерьск;x
d_yaroslavl_adj_lappish;Мерьск;x
d_ryazan_adj_mordvin;Мещерск;x
c_rostov_adj_komi;Мерьск;x
c_rostov_adj_mordvin;Мерьск;x
c_rostov_adj_samoyed;Мерьск;x
c_rostov_adj_finnish;Мерьск;x
c_rostov_adj_lappish;Мерьск;x
d_vladimir_adj_mordvin;Муромск;x
d_vladimir_adj_samoyed;Муромск;x
d_beloozero_adj_finnish;Чудск;x
d_beloozero_adj_samoyed;Чудск;x
d_beloozero_adj_mordvin;Чудск;x
d_beloozero_adj_lappish;Чудск;x
d_beloozero_adj_komi;Чудск;x
d_novgorod_adj_ilmenian;Ильменск;x
d_novgorod_adj_severian;Ильменск;x
d_novgorod_adj_volhynian;Ильменск;x
d_novgorod_adj_finno_ugric;Ильменск;x
d_tver_adj_ilmenian;Вятск;x
d_tver_adj_severian;Вятск;x
d_tver_adj_volhynian;Вятск;x
d_vladimir_adj_mordvin;Муромск;x
d_vladimir_adj_samoyed;Муромск;x
d_turov_adj_ilmenian;Дреговск;x
d_vitebsk_adj_ilmenian;Кривск;x
d_smolensk_adj_severian;Радимск;x
d_smolensk_adj_ilmenian;Радимск;x
d_chernigov_adj_severian;Северск;x
d_chernigov_adj_ilmenian;Северск;x
d_chernigov_adj_mordvin;Северск;x
d_chernigov_adj_volhynian;Северск;x
d_kipchak_adj_pecheneg;Печенежск;x
d_moldau_adj_pecheneg;Печенежск;x
c_dorpat_adj_russian;Юрьевск;x
c_dorpat_adj_swedish;Дерптск;x
c_dorpat_adj_danish;Дерптск;x
c_dorpat_adj_norwegian;Дерптск;x
c_dorpat_adj_german;Дерптск;x
c_aoudaghost_adj;Аудагостск;x
c_araouane_adj;Арауанск;x
c_artois_adj;Артуасск;x
c_baluchistan_adj;Белуджистанск;x
c_bambuk_adj;Бамбукск;x
c_bourbon_adj;Бурбонск;x
c_brandenburg_adj;Бранденбургск;x
c_chios_adj;Хиосск;x
c_chur_adj;Курск;x
c_constantine_adj;Константинск;x
c_dauphine_viennois_adj;Дофинск;x
c_djenne_adj;Дженнейск;x
c_gao_adj;Гаосск;x
c_ghana_adj;Ганск;x
c_idjil_adj;Иджильск;x
c_jask_adj;Яскск;x
c_karelen_adj;Карельск;x
c_mali_adj;Малийск;x
c_moray_adj;Морейск;x
c_ouadane_adj;Уаданск;x
c_oualata_adj;Уалатайск;x
