#CODE;RUSSIAN;x
mesoamerican;Мезоамериканская;x
nahuatl;Науа-ацтекск;x
aztec;Ацтекское язычество;x
e_mexikha;Мешика;x
e_mexikha_adj;Ацтекск;x
emperor_nahuatl;Уэтлатоани;x
emperor_female_nahuatl;Уэтлатоани;x
king_nahuatl;Тлатоани;x
king_female_nahuatl;Тлатоани;x
duke_nahuatl;Уэкальпишки;x
duke_female_nahuatl;Уэкальпишки;x
count_nahuatl;Кальпишки;x
count_female_nahuatl;Кальпишки;x
baron_nahuatl;Тэктли;x
baron_female_nahuatl;Тэктли;x
GOD_HUITZILOPOCHTLI;Уицилопочтли;x
GOD_XIPE_TOTEC;Шипе-Тотек;x
GOD_TEZCATLIPOCA;Тескатлипока;x
GOD_QUETZALCOATL;Кетцалькоатль;x
GOD_MICTLANTECUHTLI;Миктлантекутли;x
GOD_TLALOC;Тлалок;x
job_chancellor_aztec;Сиуакоатль;x
job_marshal_aztec;Тлакатэккатль;x
job_treasurer_aztec;Петлакалькатль;x
job_spymaster_aztec;Тилланкальки;x
job_spiritual_aztec;Саагун;x
ISNT_TRIBAL_TYPE_TITLE;Не племенной;x
IS_TRIBAL_TYPE_TITLE;Племенной;x
HAS_HORDE_CULTURE;Относится к ордынской культуре;x
HAS_NOT_HORDE_CULTURE;Не относится к ордынской культуре;x
#DEATH_SACRIFICED;был принесён в жертву языческим богам $KILLER$;x
DEATH_SACRIFICED_NO_KILLER;был принесён в жертву языческим богам.;x
RETTYPE_CUL_NAHUA;Воины-ягуары;x
EVTDESC_SSI_001;Cегодня странно выглядящие незнакомцы на экзотических кораблях причалили к берегу и попросили аудиенции. С собой они привезли чудесные подарки и товары: бусы, жемчуг и разноцветные перья. Их язык не был известен никому из придворных, но похоже они хотели получить землю в обмен на свои побрякушки!;x
EVTOPTA_SSI_001;У меня плохое предчувствие...;x
EVTNAME_SSI_002;Hезнакомцы из-за дальних морей;x
EVTDESC_SSI_002;Прошёл слух об экзотических незнакомцах на странных кораблях, причаливающих вдоль Атлантического побережья, говорящих на неизвестном языке и пытающихся купить землю за стеклянные бусы, разноцветные перья и золото. Когда им отказали, они стали угрожать местным правителям страшными проклятьями и мощью великого императора из-за Атлантического океана.;x
EVTOPTA_SSI_002;Ха! Детские фантазии.;x
EVTDESC_SSI_003;Тысячи грозных кораблей достигли берегов земли [Root.GetName], высаживая бесчисленные орды свирепых воинов в странном облачении. Их боевые крики слышны за мили!;x
EVTOPTA_SSI_003;Это Конец Света!;x
EVTNAME_SSI_004;Bторжение с Заката!;x
EVTDESC_SSI_004;Тысячи экзотических кораблей достигли области [From.SeaZone.GetName], извергая бесчисленные орды улюлюкающих воинов в странных доспехах из перьев и костей. Эти захватчики, прибывшие с закатной стороны, поклоняются демоническим богам, принося в жертву население целых городов на алтаре возведённом на вершине  похожего на пирамиду деревянного строения. Они вырезают сердца своих жертв, осторожно сдирая с них кожу. Затем их дьявольские жрецы надевают и носят эту кожу несколько дней.;x
EVTOPTA_SSI_004;[This.Religion.GetRandomGodNameCap] помилуй!;x
EVTDESC_SSI_005;Лес парусов появился на горизонте - страшное бедствие в лице Ацтеков достигло наших берегов!;x
EVTOPTA_SSI_005;Седлайте моего коня!;x
EVTNAME_SSI_006;Bторжение с Запада!;x
EVTDESC_SSI_006;Ещё один огромный флот кровожадных Ацтеков появился в области [From.SeaZone.GetName]. Толпа бежит в страхе от жертвенного алтаря заморских демонических богов. Ужасный владыка захватчиков дал обет покорить весь мир во имя Уицилопочтли, Ацтекского бога солнца и войны.;x
EVTOPTA_SSI_006;[This.Religion.GetRandomGodNameCap] помилуй!;x
EVTNAME_SSI_030;Hовости из-за моря;x
EVTDESC_SSI_030;Слухи о колосальной борьбе, которая ведётся за Великим морем на родине Ацтеков, достигли Европы. Ацтеки сами редко обсуждали это с посторонними, но похоже они некоторое время назад погрязли в смертельной войне с Тавантинсуйи, великой империей за горами и джунглями к югу от Теночтитлана. Ей правит Сапа Инка, который якобы является потомком некоего бога Солнца.\nЕсли верить рассказам, воины Инков вооружены загадочными гром-палками, способными убить человека на большом расстоянии. Ацтеки только недавно смогли остановить их наступление, во многом благодаря всадникам на лошадях, которые доставлялись из Европы.;x
EVTOPTA_SSI_030;Гром-палки? Боги Солнца? У меня нет времени на этот бред!;x
EVTNAME_SSI_031;Bеликая Равнина;x
EVTDESC_SSI_031;Ацтеки перестали бояться лошадей и увезли нескольких коннозаводчиков на свою родину в долину Ануак. У нас мало вестей из-за моря об этом, но из того, что можно собрать воедино, ясно одно - ацтеки используют свои новые кавалерийские полки для окончательного усмирения своих упрямых соперников на северной равнине.\nВладение Шошонов и народы Сиу уже включены в состав их растущей империи, и сейчас армия ацтеков движется к последнему свободному городу-государству Ирокезов на побережье Атлантики. Это только вопрос времени, когда весь континент будет под управлением великого города Теночтитлан.;x
EVTOPTA_SSI_031;Такое не должно случиться здесь!;x
EVTNAME_SSI_035;Pастения из далёкого запада.;x
EVTDESC_SSI_035;Война и болезни, это не всё, что Ацтеки привезли с собой из Семанауак, их далёкой родины. Их рацион включает несколько странных растений, предположительно съедобных, и сейчас многие из них используются, как деликатес в Европе и Средней Азии.\nПоторговав с ацтекскими купцами, предприимчивые крестьяне стали засеивать свои поля семенами растения, называемого картофель, а в это время другие экспериментировали с томатами и кукурузой. Многих дворян очаровал чудесный напиток под названием "Чоколатль", сделанным из бобов дерева Какао.;x
EVTOPTA_SSI_035;Минутная прихоть. Это никогда не станет популярным.;x
EVTDESC_SSI_040;Bся Исландия сейчас - колония Ацтеков. Викинги, приплывшие в Винландию, встретили местное население, которое предостерегало их о могущественной империи на юге, но эти предостережения не были услышаны. Теперь же ацтекская знать, попавшая в немилость к императору, была назначена управлять этим холодным и бесплодным островом.;x
EVTOPTA_SSI_040;Если бы кто-нибудь умел слушать...;x
EVTDESC_SSI_041;Bероломные ацтеки теперь полностью контролируют Ирландию. По случаю успеха тысячи ирландцев принесены в жертву. Их новый сюзерен теперь воздвигает храмы и пирамиды, в которых в будущем будут проводиться ритуалы в угоду их богам.;x
EVTOPTA_SSI_041;Нужно сбросить их обратно в море!;x
EVTDESC_SSI_042;Bся Британия от Северо-Шотландского нагорья до Белых скал Дувра на юге, включена в состав великой ацтекской нации. Новая процветающая колония станет жемчужиной колониальной империи ацтеков, и плацдармом для будущих атак на континентальную Европу.;x
EVTOPTA_SSI_042;Гнусные империалисты!;x
EVTDESC_SSI_043;Aцтеки завладели Лондоном. По случаю успеха пять девственниц и пятьдесят священников принесены в жертву, и теперь ацтекский жрец воздвигает большую церемониальную пирамиду на берегу Темзы.;x
EVTOPTA_SSI_043;*В замешательстве*;x
EVTDESC_SSI_044;Aцтекское иго распространяется... Париж перешёл под их управление и теперь Сена стала красной от крови сотен несчастных душ, которые были принесены в жертву, чтобы удовлетворить демонов маскирующихся под богов. Император лично разослал награды из Теночтитлана всем командирам причастным к этому.;x
EVTDESC_SSI_045;Aрмия ацтеков достигла Рима, и теперь город включён в их империю. Ужасные крики раздаются из Апостольского дворца в момент осквернения человеческой жертвой, в то время, как ацтекские командиры изучают древние римские памятники, сетуя на то, что у них нет шанса проявить себя в бою против такого достойного противника.;x
EVTDESC_SSI_046;Bеликий город Константинополь пал перед ацтеками. Великая столица произвела впечатление на воинов, хотя она и не может конкурировать с великолепием Теночтитлана. Ацтекские жрецы уже подготовили план сноса собора Святой Софии и возведения пирамиды на её месте.;x
EVTDESC_SSI_047;Kордова, город, который иногда называют "Жемчужиной Мира", был захвачен ацтеками и не впечатлил их. Он выглядел бедно в сравнении с великими имперскими метрополиями долин Мехико и Юкатана. Они принесли в жертву сотни жителей Кордовы за их бесстыдную наглость.;x
EVTDESC_SSI_048;Aцтеки достигли Каира и нашли Великие пирамиды Гизы непохожими на всё то, что они видели ранее. Они превосходят даже самые большие пирамиды в Семанауаке. Верховный жрец Ацтеков провозгласил окружающие земли священными за пределами Теночтитлана.;x
EVTDESC_SSI_060;Aцтекские завоеватели решили, что [From.GetTitledName] - новая жертва их демоническим богам! Они принесли [From.GetHersHis] на однин из своих алтарей, на котором их мерзкий жрец вскрыл [From.GetHersHis] с помощью церемониального кинжала. Потом он вырвал всё ещё бьющееся сердце, поздравляя собравшихся вокруг воинов.;x
EVTOPTA_SSI_060;Да упокоится [From.GetHersHis] несчастная душа.;x
EVTNAME_SSI_105;Aцтеки терпят поражение;x
EVTDESC_SSI_105;Oгромная орда Ацтеков, которая пересекла океан в своём безумном стремлении завоевать всё сотворённое человеком, отброшена назад в море. Их колонии  потеряны, а армии побеждены. Жалкие остатки войск уплыли назад на родину в Семанауак, зализывать свои раны и сообщить императору о позорном поражении.\nВозможно придёт время, когда их собственные берега навестят флоты из Старого Света, и когда это произойдёт, их бывшие жертвы воздадут долги сполна.;x
EVTOPTA_SSI_105;Возмездие придёт!;x
EVTNAME_SSI_070;Aцтеки распространяют болезнь;x
EVTDESC_SSI_070;Hет конца бедам, которые принесли ацтеки этой земле. Странная эпидемия из захваченных территорий начала распространяться по всему Старому Свету. Симптомы схожи с ужасной оспой, но эта болезнь кажется ещё более смертоносной. Специалисты в области медицины прозвали её "Сифилис" и все попытки её лечения до сих пор не увенчались успехом.\nТеперь даже те, кто находятся за пределами досягаемости ацтекской армии, остаются в опасности, так как болезнь распространяется беженцами и купцами, идущими через Европу и Средней Восток нескончаемым потоком.;x
EVTOPTA_SSI_070;Это наказание за наши грехи.;x
