#CODE;RUSSIAN;x
HOLD_ELECTION_EFFECT;В государстве $TITLE$ прошли выборы.\n;x
ANTI_POPE_CESSATION_LOG;Антипапство человека, известного как §Y$ANTIPOPE$§!, закончилось.;x
TRIGGER_BEST_CRUSADE_CLAIMANT;Лучший претендент;x
CRUSADE_DESC_DRO_3;Поскольку есть достойные претенденты на престол государства §Y$TITLE$§!, исповедующие $RELIGION$, вся территория достанется сильнейшему из них - сейчас это §Y$RULER$§!. Претенденты с наибольшим вкладом в военный успех в приоритете.;x
restore_pope_in_rome;Восстановить Папство в Риме;x
restore_pope_in_rome_desc;Святой Отец потерял контроль над своими землями, но в моей власти вернуть Вечный Город ему!;x
opinion_restored_to_rome;Вернул мне Рим;x
opinion_creator_of_rel_heal;Создал мой пост;x
EVTDESC_SOA_2609;Этот рыцарский Орден получил свое имя от Сантьяго Матамороса, или Святого Джеймса Мавроборца, как его ещё называют. [Root.Religion.GetName] в лице его Церкви официально поддерживает этот Орден. Все его рыцари поклялись очистить целые страны от язычников и еретиков по просьбе любого правителя, исповедующего [Root.Religion.GetName].;x
EVTDESC_SOA_2709;Орден Калатравы - это самое последнее добавление к воинам Креста, только что одобренное указом Церкви. Орден взял своё имя у замка, вырванного в Иберии из лап мусульман. Эти рыцари готовы бороться с язычниками и защищать благочестивых во имя любого правителя, исповедующего [Root.Religion.GetName], который готов обеспечить их содержание.;x
EVTDESC39100;Издан указ, подтверждающий формирование нового религиозно-военного ордена - рыцари Святого Иоанна. Прежде они защищали и заботились о больных паломниках в Иерусалиме, теперь же за ними [Root.Religion.GetName] и вся сила его Церкви. Благочестивые правители, исповедующие [Root.Religion.GetName], могут призвать их к войне против еретиков и язычников, но эти воины не станут сражаться с единоверцами.;x
EVTDESC39101;Новый Христианский военный орден был основан небольшой группой богатых рыцарей. Бедные Рыцари Христа и Храма Соломона или, сокращенно, тамплиеры, поклялись защищать паломников, путешествующих через Святую Землю. [Root.Religion.GetName] в лице Церкви всецело поддерживает этот орден, что позволяет благочестивым правителям, исповедующим [Root.Religion.GetName], призвать их на помощь, но они станут сражаться только с еретиками и иноверцами.;x
EVTDESC39102;Только что был основан Орден Братьев Немецкого Дома Святой Марии в Иерусалиме. [Root.Religion.GetName] в лице его Церкви и император Священной Римской империи оказывают ему весомую поддержку. Тевтонский орден, так же, как и рыцари Святого Иоанна и тамплиеры, в первую очередь защищает паломников в Святой Земле, но будет служить любому правителю, исповедующему [Root.Religion.GetName], который готов платить за его содержание. Будучи религиозным орденом, он будет сражаться только с еретиками и иноверцами.;x
EVTDESC_SOA_1709;Рыцари Святого Антония берут своё начало в одном из старейших рыцарских орденов в мире. В 370, последователи Антония Затворника основали Орден Святого Антония под патронажем императора Эфиопии.\nВеками они держались в тени, но сейчас этот святой орден стал мощной силой. Их заявленная цель - защита христиан, исповедующих [Root.Religion.GetName], от всех тех, кто будет стремиться причинить им вред, и очищение земли от неверных и еретиков, везде, где их доведётся встретить.;x
EVTDESC_SOA_1809;Некоторые из лучших воинов Персии решили основать новый духовный орден, который призван защищать [Root.Religion.GetName] от нечестивцев. Они называют себя Бессмертные, как древние персидские элитные воины, описанные Геродотом, и похоже, они полны решимости воспроизвести воинские традиции своих легендарных предшественников.\nЭтот воинственный орден поклялся сражаться против всех, кто будет угрожать наследию Заратуштры, и больше никогда не позволит зороастризму страдать от неудач, которые ему пришлось пережить при арабских завоеваниях VII века.;x
EVTDESC_SOA_1209;Хаджи Бакташ Вали, мистик из Хорасана, основал суфийскую секту дервишей. Стремясь к "Единству Бытия", его последователи тренируют душу с помощью медитации и созерцания внутренней сути Корана. Орден Бекташи воинственен и особенно популярен среди воинов-мусульман, исповедующих [Root.Religion.GetName]. Орден поклялся защищать ислам и бороться с неверными и многобожниками всех мастей.;x
EVTDESC88000;Распространяется известие о том, что некий проповедник [Root.Religion.GetName]а, Хасан ибн Саббах, основал религиозный орден, известный как "Хашашин" где-то в западной Персии. Используя хитрость и коварство, этот таинственный культ подготовленных убийц уже взял под свой контроль горную крепость Аламут и превратил её в свою штаб-квартиру. Прослеживается целая цепочка кровавых убийств, тянущаяся за преданными и бесстрашными учениками Хасана...;x
donate_money_to_assassins;Пожертвовать 300¤ хашашинам;x
donate_money_to_assassins_desc;Я могу передать деньги ассасинам в обмен на благочестие.;x
donate_money_to_bektashi;Пожертвовать 300¤ Бекташи;x
donate_money_to_bektashi_desc;Я могу передать деньги суфийскому Ордену Бекташи в обмен на благочестие.;x
donate_money_to_knights_templar;Пожертвовать 300¤ тамплиерам;x
donate_money_to_knights_templar_desc;Я могу передать деньги Тамплиерам в обмен на благочестие и пожизненное уважение, которым наградит меня [Root.Religion.GetName] в лице его Церкви.;x
donate_money_to_knights_hospitaler_desc;Я могу передать деньги Рыцарям Белого Креста в обмен на благочестие и пожизненное уважение, которым наградит меня [Root.Religion.GetName] в лице его Церкви.;x
