#CODE;RUSSIAN;x
#TITLE_CREATION_HAS_OWNER;Вы не можете создавать или узурпировать титулы, пока владеете временным титулом.;x
CAN_ONLY_JOIN_X_FACTIONS;Вы можете присоединиться только к §Y$NUM$§! фракциям!;x
INTERACTION_REQUIRES_NO_ACTOR_TEMPORARY_TITLE;[Actor.GetBestName] должен не иметь временный титул.;x
INTERACTION_REQUIRES_NO_RECIPIENT_TEMPORARY_TITLE;[Recipient.GetBestName] должен не иметь временный титул.;x
REBEL_TITLE;[Recipient.PrimaryTitle.GetAdjective]ое Восстание;x
opinion_rebel_leader;Предводитель восстания;x
opinion_fellow_rebel;Повстанец;x
CHECKBOX_COMPRESSED_SAVEGAMES;Сжатие игровых файлов;x
EVTDESC75041;"Неверный среди Ваших придворных, [Root.PrimaryTitle.GetFOA]!" - говорит [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n"Я требую сожжения его на костре!";x
EVTDESC75042;"Неверный среди Ваших придворных, [Root.PrimaryTitle.GetFOA]!" - говорит [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n"Я требую изгнать его из страны!";x
EVTDESC75051;"[Root.PrimaryTitle.GetFOA], среди Ваших придворных скрывается еретик!" - [Root.GetLordSpiritualName] [From.GetTitledFirstName] сообщил мне об этом.\n"Я рекомендую Вам устроить показательную казнь этого еретика через сожжение на священном костре.";x
TITLE_HAS_NO_HOLDER;Невозможно отозвать титул, у которого нет обладателя.;x
LOADING_TIP_54;Мусульмане могут избавиться от черты Упадок совершив Хадж в Мекку.;x
TITLE_CANNOT_USURP_PRIMARY_OFF_OTHER_REL;§RНевозможно узурпировать основной титул правителя, исповедующего другую религию, пока он владеет землями де-юре принадлежащими к данному титулу.;x
age_child;Дитя;x
age_teen;Отрок;x
age_young;Молодой;x
age_adult;Взрослый;x
age_old;Пожилой;x
age_very_old;Старый;x
WRONG_OCEAN;Может быть достигнут по морю;x
indian_subjugation_desc;Правители, исповедующие индийские религии, могут покорять друг друга за §Y500§! очков Кармы, если состоят в той же культурной группе.;x
jungle;Джунгли;x
hindu;Индуизм;x
hindu_DESC;Индуизм не единственная религия, основанная на постулатах древнего индийского политеизма, записанных в Ведах. Множество различных верований и религий, самыми яркими представителями которых являются Буддизм и Джайнизм, основаны на тех же постулатах, и имеют с Индуизмом много общего. Это сходство, а так же относительно мирное сосуществование представителей этих религий на протяжении почти тысячи лет сделали индуистов невообразимо терпимыми к представителям любых других индийских религий. И всё же, из всех верований и религий, представленных в Индии, индуизм является самым воинственным. Игровые особенности:\n§Y*§! Не имеют духовного главы\n§Y*§! Большое значение кастовых черт\n§Y*§! Имеют уникальный повод для войны: "Покорение", действующий в отношении представителей других индийских религий\n§Y*§! Могут совершать набеги на страны, исповедующие иную религию\n§Y*§! Регулярно могут объявлять Священные Войны против неверных\n§Y*§! С трудом обращают буддистские и джайнистские страны.;x
buddhist;Буддизм;x
jain;Джайнизм;x
nubian;Нубийская;x
GOD_SHIVA;Шива;x
GOD_THE_SUPREME;Всевышний;x
THE_VINAYAKAS;Винаяка;x
THE_MAHABHARATA;Махабхарата;x
PUJARI;Пуджари;x
GOD_THE_BUDDHA;Будда;x
GOD_THE_ARHAT;Архат;x
GOD_THE_PERFECTED_ONES;Всесовершенный;x
MARA;Мара;x
THE_BUDDHACAVANA;Буддакавана;x
BHIKKHU;Бхиккху;x
GOD_THE_TIRTHANKARAS;Тиртхананкара;x
GOD_RISHABH;Ришабх;x
GOD_AJINATH;Аджинатх;x
GOD_SAMBHAVANATH;Самбхаванатх;x
THE_PUNISHERS;Каратель;x
NIRGRANTHA;Ниргрантха;x
brahmin;Брахман;x
#brahmin_desc;Принадлежит к касте брахманов.;x
kshatriya;Кшатрия;x
#kshatriya_desc;Принадлежит к касте кшатрии.;x
vaishya;Вайшья;x
#vaishya_desc;Принадлежит к касте вайшьев;x
shaivist_hindu;Шиваист;x
shaivist_hindu_desc;Исповедует шиваистскую ветвь индуизма.;x
vaishnavist_hindu;Вишнуист;x
vaishnavist_hindu_desc;Исповедует вишнуистскую ветвь индуизма.;x
shaktist_hindu;Шактист;x
shaktist_hindu_desc;Исповедует шактистскую ветвь индуизма.;x
smartist_hindu;Смартист;x
smartist_hindu_desc;Исповедует смартистскую ветвь индуизма.;x
mahayana_buddhist;Махаянский буддист;x
mahayana_buddhist_desc;Исповедует махаянскую ветвь буддизма.;x
vajrayana_buddhist;Ваджраянский буддист;x
vajrayana_buddhist_desc;Исповедует ваджраянскую ветвь буддизма;x
theravada_buddhist;Тхеравадский буддист;x
theravada_buddhist_desc;Исповедует тхеравадскую ветвь буддизма;x
digambara_jain;Дигамбарский джайн;x
digambara_jain_desc;Исповедует дигамбарскую ветвь джайнизма;x
svetambara_jain;Светамбарский джайн;x
svetambara_jain_desc;Исповедует светамбарскую ветвь джайнизма.;x
sympathy_indian;Симпатия к Индийским религиям;x
sympathy_indian_desc;Этот человек симпатизирует и понимает ценности буддистов, индуистов и джайнов.;x
karluk;Карлукск;x
kirghiz;Киргизск;x
khanty;Хантыйск;x
afghan;Афганск;x
baloch;Белуджск;x
indo_aryan_group;Индоарийская;x
dravidian_group;Дравидийская;x
indian;Индийск;x
bengali;Бенгальск;x
hindustani;Хиндустанск;x
sindhi;Синдск;x
marathi;Маратхск;x
sinhala;Сингальск;x
telugu;Телугуйск;x
kannada;Каннадайск;x
tamil;Тамильск;x
gujurati;Гуджаратск;x
panjabi;Пенджабск;x
rajput;Раджпутск;x
oriya;Ориянск;x
assamese;Ассамск;x
IS_LOWBORN;Низкого рода;x
IS_NOT_LOWBORN;НЕ низкого рода;x
IS_REINCARNATED;Реинкарнированный;x
IS_NOT_REINCARNATED;НЕ реинкарнированный;x
NUM_DYN_MEMBERS_LESS_THAN;Меньше представителей династии, чем ;x
NUM_DYN_MEMBERS_GREATER_THAN;Больше представителей династии, чем ;x
decadent;Декадент;x
decadent_desc;Лёгкая жизнь, распущенность и чрезмерная скандальность превратили этого человека в декадента, отринутого всеми исламскими течениями. Человек с данной чертой будет постепенно увеличивать модификатор "Упадка" всей династии, что в конечном счете приведет к массовым волнениям внутри семьи или даже к вооруженным восстаниям.;x
reincarnation;Реинкарнация человека, известного как [Reincarnation.GetBestName];x
reincarnation_desc;Всё указывает на то, что этот человек является реинкарнацией того, кто известен как [Reincarnation.GetBestName].;x
opinion_takfir;Такфир;x
opinion_straightened_up;Исправился;x
#DECADENCE_DESC;Все взрослые мусульманские мужчины рангом ниже графа рискуют получить черту §YДекадент§!, особенно те, кто имеет низкий ранг. Вклад их в Упадок династии зависит от социального статуса, также как и общего количества земель, контролируемых династией. Упадок влияет на доход от налогов владений и боевой дух ополченцев от этих владений во время битв. Способы стабилизировать или снизить Упадок:\n§G*§! Раздача земельных титулов членам династии\n§G*§! Малые владения для главы династии\n§G*§! Успешное убеждение членов династии отойти от пороков\n§G*§! Заключение, изгнание или убийство тех, кто порочит династию\n§G(Обзор Религии содержит список декадентов династии.)§!;x
convince_to_straighten_up;Убедить исправиться;x
