#CODE;RUSSIAN;x
EVTDESC_RoI_10011;[GetFromRelation] [From.GetFirstName] действует почти так же, как [From.Reincarnation.GetTitledFirstName] - своё прежнее воплощение, изо дня в день проявляя те же черты характера...;x
form_the_hre;Священная Римская Империя;x
form_the_hre_desc;Имея державу, которая может соперничать с империей Карла Великого, я могу стать истинным наследником и, ссылаясь на Translatio Imperii, получить корону новой Римской Империи на западе!;x
buddhist_DESC;Буддизм был основан Буддой, родившимся под именем Сиддхартха Гаутама в Северной Индии в V веке до н.э. За тысячу лет процветания Буддизма в Индии было построено множество монастырей, библиотек и храмовых комплексов, пока вторжения мусульман и рост могущества касты браминов не вытолкнули буддизм в глубь континента. Игровые особенности:\n§Y*§! Не имеют духовного главы\n§Y*§! Кастовые черты персонажа не имеют значения\n§Y*§! Большой бонус к скорости развития науки\n§Y*§! Имеют уникальный повод для войны: "Покорение", действующий против других индийских религий.\n§Y*§! Могут объявить ограниченное количество Священных Войн против неиндийских религий\n§Y*§! С трудом обращают индуистские и джаинистские территории\n§Y*§! Могут назначить любого законного потомка своим наследником;x
jain_DESC;Джайнизм - древнейшая религия, берущая свое начало в традициях Сраманских аскетов и являющаяся ярким противопоставлением клирикализации браминов и всей кастовой системы. Основной постулат Джайнизма - Ахимса - абсолютное отрицание насилия. Джайнистам очень сложно вести захватнические воины, но очень легко удерживать страну в целости и спокойствии. Игровые особенности:\n§Y*§! Не имеют духовного главы\n§Y*§! Кастовые черты не имеют значения\n§Y*§! Не могут объявлять священные войны\n§Y*§! Имеют повод "Покорение" при объявлении войны правителям, исповедующим другие индийские религии\n§Y*§! Минимальные шансы на восстания внутри страны\n§Y*§! Огромный бонус к мнению вассалов\n§Y*§! Могут удерживать больше титулов\n§Y*§! Могут назначить любого законного потомка своим наследником;x
IndiaDLC;Rajas of India (дополнение);x
TurkishUnitPackDLC;Turkish Unit Pack (дополнение);x
TurkishPortraitDLC;Turkish Portraits (дополнение);x
SongsOfIndiaDLC;Songs of India (дополнение);x
#opinion_vassal_king;Вассальный монарх;x
THREAT;Угроза;x
THREAT_FACTION_LEADER;Лидер фракции: §Y$FACTION$§!;x
THREAT_FACTION_MEMBER;Член фракции: §Y$FACTION$§!;x
THREAT_ADVENTURER;Готовит войска против меня;x
THREAT_PREPARING_INVASION;Готовит вторжение против меня;x
alert_adventurer_threat_instant;§YУгрозы авантюристов§!;x
alert_adventurer_threat_delayed;Авантюристы, выступающие против меня:\n$LIST$;x
alert_adventurer_threat_name;Авантюристы готовят войска;x
opinion_targeted_by_adventurer;Цель вторжения;x
opinion_revoked_honorary_title;Отозвал мой почётный титул;x
holding_grand_hunt;Ведёт Большую Охоту;x
TITLE_NOT_REVOKEABLE;Отзыв невозможен;x
MODIFIER_VASSAL_OPINION;Мнение вассалов;x
MODIFIER_LIEGE_OPINION;Мнение сюзерена;x
MODIFIER_SEX_APPEAL_OPINION;Влечение/Отвращение;x
REVOKE_HONORARY_TITLE_INTERACTION_TITLE;Отозвать почётный титул;x
REVOKE_HONORARY_TITLE_INTERACTION_DESC;Отозвать почётный титул, прежде пожалованный этому человеку;x
REVOKE_HONORARY_TITLE_INTERACTION_LONG_DESC;Вы можете отзывать почётные титулы, которыми наградили кого-либо, лишая его престижа и денежного довольствия.;x
REVOKE_HONORARY_TITLE_INTERACTION_0;Выберите почётный титул, которого лишится §Y[Recipient.GetTitledFirstName]§W.;x
REVOKE_HONORARY_TITLE_INTERACTION_1;Отозвать титул §Y[ThirdPartyTitle.GetFullName]§W у правителя, известного как §Y[Recipient.GetTitledFirstName]§W. Это изменит [Recipient.GetAbsPossPronoun] мнение о Вас на $OPINION$.;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Почётный титул отозван;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W отзывает титул §Y[ThirdPartyTitle.GetFullName]§W у того, кого зовут §Y[Recipient.GetBestName]§W;x
CANNOT_BUY_RET_TEMP_TITLE;\nВы не можете сформировать эту гвардию, обладая временным титулом.;x
NOT_ALLOWED_INDIAN;Вам не позволено играть за §Yиндусов§! без дополнения "Rajas of India"!;x
NOT_ALLOWED_INDIAN_MP;§Y$PLAYER$§! не может играть за §Yиндусов§! без дополнения "Rajas of India";x
RD_NOT_PLAYABLE_WITHOUT_ROI_DLC;Индийские религии не доступны для игры без дополнения "Rajas of India";x
#TEMP_T_HOLDER_CANT_DESTROY_T;Обладатели временных титулов не могут уничтожать какие-либо титулы;x
CANNOT_PLAY_INDIAN_WITHOUT_DLC;Вы не можете играть за последователей индийских религий без дополнения "Rajas of India";x
CANNOT_PLAY_JUDAISM_WITHOUT_DLC;Вы не можете играть за иудеев без дополнения "Sons of Abraham";x
DESIGNATE_HEIR_ALLOWED_SUCCESSION;Закон наследования должен быть "Равным Разделом", Примогенитурой, Ультимогенитурой или "Открытыми Выборами";x
DESIGNATE_HEIR_ALLOWED_GENDER;Выбор наследника должен подчиняться гендерному закону;x
DESIGNATE_HEIR_PROGENY;Вы можете выбрать наследника только среди своих потомков;x
GRANT_LANDED_TITLE_CORRECT_CASTE;Человек имеет подходящую касту;x
DESIGNATE_HEIR;Назначить этого человека своим наследником;x
opinion_former_lover;Бывший любовник;x
IS_NOT_FORMER_LOVER_OF;НЕ бывший любовник человека по имени §Y$WHO$§!;x
IS_FORMER_LOVER_OF;Бывший любовник человека по имени §Y$WHO$§!;x
EVTDESC60400;Блестящий Турецкий наемник и бывший раб, воин по имени Себук-Тегин, неоднократно проявил себя, ведя свою конницу в бой. Мои командиры думают, что следует пожаловать ему более высокий пост.;x
EVTOPTA60401;Гандхара лучше всех!;x
EVTOPTB60401;Мултан выглядит естественнее.;x
EVTOPTC60401;Лахор богат и слаб.;x
EVTOPTD60401;Бхаккар первый!;x
EVTNAME60406;Газневиды;x
EVTDESC60406;Бывший турецкий наемник и раб становится всё могущественнее на земле афганцев. Это Себук-Тегин, набожный человек, который презирает неверных и полон решимости создать империю, соперничащую с прежними халифатами. Он только что разбил правителя, известного как [FromFrom.GetTitledName] в жестокой войне. И теперь десятки тысяч свирепых соплеменников выступили под его знамёнами!;x
EVTOPTA60406;Трепещите неверные!;x
EVTOPTB60406;Ну что за проблемный регион...;x
EVTOPTC451;[From.GetSheHeCap] - не мой тип.;x
EVTOPTA450;Поддержать [Root.Liege.GetHersHis];x
EVTOPTA454;Как [From.GetSheHe] устоит перед моими чарами?;x
EVTDESC453;[From.GetFirstName] принял(а) меня в своих покоях, и мы неплохо порезвились!;x
