#CODE;RUSSIAN;x
#MODIFIER_COMBAT_RATING;Combat Rating;Classement de combat;Kampfkraft;;Clasificaciуn de combate;;;;;;;;;x
CR_DIFF_LOWER_THAN;Разница в боевых навыках между §Y$FIRST$§! и §Y$SECOND$§! меньше чем §Y$VAL$§!;x
CR_DIFF_AT_LEAST;Разница в боевых навыках между §Y$FIRST$§! и §Y$SECOND$§! не меньше чем §Y$VAL$§!;x
HAS_CR_AT_LEAST;Боевые навыки не меньше чем ;x
HAS_LOWER_CR_THAN;Боевые навыки меньше чем ;x
MASTER;господин;x
MISTRESS;госпожа;x
wol_schemer_1;Начинающий интриган;x
desc_wol_schemer_1;Этот человек - начинающий интриган, который пытается манипулировать другими путем обмана и уловок.;x
wol_schemer_2;Интриган;x
desc_wol_schemer_2;Этот человек - опытный интриган, заговорщик и кукловод.;x
wol_patriarch_1;Семьянин;x
desc_wol_patriarch_1;Этот мужчина посвятил себя своей семье и её благополучию.;x
wol_patriarch_2;Глава семьи;x
desc_wol_patriarch_2;Этот мужчина - бесспорный глава семьи, который решает конфликты и направляет её крепкой, но нежной рукой.;x
wol_matriarch_1;Хозяйка;x
desc_wol_matriarch_1;Эта женщина посвятила себя своей семье и её благополучию.;x
wol_matriarch_2;Хранительница семейного очага;x
desc_wol_matriarch_2;Эта женщина - глава семьи. Она решает конфликты и направляет её уверенной, но нежной рукой.;x
schemer;Мастер-интриган;x
break_up_with_lover;Порвать;x
break_up_with_lover_desc;Вы и [Root.GetTitledFirstNameNoRegnal] прекратите любовные отношения.;x
opinion_whorespawn;Шлюшье отродье;x #Блядское отродье
opinion_seduced_once;Соблазнен;x
opinion_seduced_lustful_worship;Похотливое обожание;x
opinion_seducing_concubine;Соблазняет;x
opinion_regicide_traitor;Кровожадный предатель;x
seduced_loyal_bodyguard;Любовный телохранитель;x
desc_seduced_loyal_bodyguard;Этот человек при помощи соблазнения заручился самым преданным телохранителем, которого только можно вообразить.;x
seduced_loyal_spy_maid;Любовная служанка;x
desc_seduced_loyal_spy_maid;Этот человек соблазнил хорошенькую и сообразительную служанку, чтобы использовать её как шпионку при дворе.;x
minor_disease_herpes;Любовная болезнь;x
desc_minor_disease_herpes;Этот человек периодически страдает от смущающих и неприглядных волдырей.;x
DAMNATION;Проклятье!;x
